title,url,date,start_time,end_time,image_url,location,recurrence,category,details
Nightfall 2024,N/A,2024-08-09,,,N/A,Miller Plaza & Miller Park,N/A,['Community & Festivals'],"The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai..."
Riverfront Nights,N/A,2024-08-10,,,N/A,Ross’s Landing,N/A,['Community & Festivals'],Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music...
Chattanooga Margarita Festival,N/A,2024-08-10,,,N/A,First Horizon Pavilion,N/A,['Community & Festivals'],Join Chattanoga Market at the First Horizon Pavilion as Chattanooga’s favorite restaurants compete for the title of Best Margarita in town! ...
Buskers Festival,N/A,2024-08-11,,,N/A,First Horizon Pavilion,N/A,['Community & Festivals'],Enjoy street style entertainment tucked into various corners of the Market this Sunday — tips are appreciated! It’s also still prime produce...
Nightfall 2024,N/A,2024-08-16,,,N/A,Miller Plaza & Miller Park,N/A,['Community & Festivals'],"The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai..."
Riverfront Nights,N/A,2024-08-17,,,N/A,Ross’s Landing,N/A,['Community & Festivals'],Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music...
